Scientific Name,Local Name,Tree Usage,Other Usages,has_fruits
,kilului,FODDER SOIL_FERTILITY FRUITS SHADE FIREWOOD ,,True
,kithiia,OTHER FIREWOOD ,fence,False
,kilaa,FODDER CONSTRUCTION FIREWOOD ,,False
,mucemei,FODDER FIREWOOD ,,False
,kikolooso,FODDER SOIL_FERTILITY FIREWOOD ,,False
Acacia tortillis,kimwaa,FODDER SHADE FIREWOOD ,,False
unknown,mwooa,SHADE FIREWOOD ,,False
,mukuluu,CONSTRUCTION FODDER SOIL_FERTILITY FIREWOOD ,,False
,muuku,FIREWOOD ,,False
,muthinia,CONSTRUCTION FIREWOOD SHADE ,,False
,mukuluu,CONSTRUCTION FODDER SOIL_FERTILITY FIREWOOD ,,False
,muuku,FIREWOOD ,,False
,muthinia,CONSTRUCTION FIREWOOD SHADE ,,False
,mukuluu,CONSTRUCTION FODDER SOIL_FERTILITY FIREWOOD ,,False
,muuku,FIREWOOD ,,False
,muthinia,CONSTRUCTION FIREWOOD SHADE ,,False
,mukuluu,FIREWOOD CONSTRUCTION SOIL_FERTILITY FODDER ,,False
,kilului,FIREWOOD SOIL_FERTILITY ,,False
,mutithi,FIREWOOD SHADE CONSTRUCTION ,,False
,mukuluu,FIREWOOD FODDER SOIL_FERTILITY ,,False
,kilului,FIREWOOD MEDICINAL FRUITS SHADE ,,True
,mutithi,FIREWOOD CONSTRUCTION SHADE ,,False
,mukuluu,CONSTRUCTION FODDER SOIL_FERTILITY FIREWOOD ,,False
,muuku,FIREWOOD ,,False
