,Tree Scientific Name,Tree Local Name,Total Trees Planted,Total Trees Survived,Tree Usage,Other Tree Usages,has_fruits,country_x,verbatim_name,nameSource_x,country_y,scientificName,rank,status,kingdom,phylum,order,family,genus,species,confidence,canonicalName,species_matched_from_accepted,country_matched_from,source,verbatim_name_from_gbif,match_score,match_status,nameSource_y,original_name_gbif_local,species_matched_from_gbif_local,_merge,cleaned_scientific_name
670,Senna siamea,Mjohoro,370,300,SHADE ,,FALSE,Kenya,mjohoro,local_name (replaced NA),Kenya,Senna siamea (Lam.) H.S.Irwin & Barneby,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Senna,Senna siamea,100,Senna siamea,mjohoro,Kenya,V,senna siamea,0,Accepted,scientific_name,mjohoro,mjohoro,both,Senna siamea
671,Casuarina equisetifolia,Casuarina,20,10,SOIL_FERTILITY FIREWOOD SHADE CONSTRUCTION ,,FALSE,Kenya,casuarina equisetifolia,scientific_name,Kenya,Casuarina equisetifolia L.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fagales,Casuarinaceae,Casuarina,Casuarina equisetifolia,99,Casuarina equisetifolia,,,,,,,,,,both,Casuarina equisetifolia
672,Mangifera indica,mango tree,52,49,FRUITS ,,TRUE,Kenya,mango tree,local_name (replaced NA),Kenya,Mangifera indica L.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Anacardiaceae,Mangifera,Mangifera indica,99,Mangifera indica,Mango tree,Kenya,V,mangifera indica,0,Accepted,scientific_name,kiembe,kiembe,both,Mangifera indica
673,Carica papaya,,10,5,FRUITS ,,TRUE,Kenya,papai,scientific_name,Kenya,Carica papaya L.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Brassicales,Caricaceae,Carica,Carica papaya,100,Carica papaya,kipapai,Kenya,V,carica papaya,0.095238095,Accepted,scientific_name,kipapai,kipapai,both,Carica papaya
674,Delonix regia,mkrismas,20,20,FODDER SHADE ,,FALSE,Kenya,mkrismas,local_name (replaced NA),Kenya,Delonix regia (Bojer ex Hook.) Raf.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Delonix,Delonix regia,100,Delonix regia,mkrismas,Kenya,V,delonix regia,0,Accepted,scientific_name,mkrismas,mkrismas,both,Delonix regia
675,,Chinese coffin tree,150,147,CONSTRUCTION ,,FALSE,Kenya,chinese coffin tree,local_name (replaced NA),,,,,,,,,,,,,,,,,,,,,,left_only,
676,Moringa oleifera,mkimbo,540,530,MEDICINAL ,,FALSE,Kenya,moringa oleifera,scientific_name,Kenya,Moringa oleifera Lam.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Brassicales,Moringaceae,Moringa,Moringa oleifera,99,Moringa oleifera,,,,,,,,,,both,Moringa oleifera
677,Syzygium cordatum,Zambarau,200,180,FRUITS SHADE MEDICINAL ,,TRUE,Kenya,zambarau,local_name (replaced NA),Kenya,Syzygium cordatum Hochst.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Myrtales,Myrtaceae,Syzygium,Syzygium cordatum,99,Syzygium cordatum,zambarao,Kenya,V,syzygium cordatum,0.050000000000000044,Accepted,scientific_name,musu,Musu,both,Syzygium cordatum
678,Mangifera indica,Mango,300,250,SOIL_FERTILITY FRUITS SHADE ,,TRUE,Kenya,mangifera indica,scientific_name,Kenya,Mangifera indica L.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Anacardiaceae,Mangifera,Mangifera indica,99,Mangifera indica,,,,,,,,,,both,Mangifera indica
679,Azadirachta indica,Mwarubaini,5,5,SHADE MEDICINAL FIREWOOD ,,FALSE,Kenya,mwarubaini,local_name (replaced NA),Kenya,Azadirachta indica A.Juss.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Meliaceae,Azadirachta,Azadirachta indica,100,Azadirachta indica,Mwarubaini,Kenya,R,azadirachta indica,0,Accepted,scientific_name,mwarubaini,Mwarubaini,both,Azadirachta indica
680,Musa sapientum,Bananas,10,10,FRUITS ,,TRUE,Kenya,bananas,local_name (replaced NA),Kenya,Musa × sapientum L.,SPECIES,SYNONYM,Plantae,Tracheophyta,Zingiberales,Musaceae,Musa,Musa paradisiaca,100,Musa sapientum,Banana,Eritrea,R,musa sapientum,0.028571429,Accepted,scientific_name,iiyu,kiiyu,both,Musa sapientum
681,Croton megalocarpus,Kithulu,20,18,SHADE FIREWOOD FODDER SOIL_FERTILITY ,,FALSE,Kenya,croton megalocarpus,scientific_name,Kenya,Croton megalocarpus Hutch.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Malpighiales,Euphorbiaceae,Croton,Croton megalocarpus,100,Croton megalocarpus,,,,,,,,,,both,Croton megalocarpus
